timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
0.00;;;;;;;;;
1.00;;;;;;;;;
2.00;;;;;;;;;
3.00;;;;;;;;;
4.00;;;;;;;;;
5.00;;;;;;;;;
6.00;;;;;;;;;
7.00;;;;;;;;;
8.00;;;;;;;;;
9.00;;;;;;;;;
10.00;;;;;;;;;
11.00;;;;;;;;;
12.00;;;;;;;;;
13.00;;;;;;;;;
14.00;;;;;;;;;
15.00;;;;;;;;;
16.00;;;;;;;;;
17.00;;;;;;;;;
18.00;;;;;;;;;
19.00;;;;;;;;;
20.00;;;;;;;;;
21.00;;;;;;;;;
22.00;;;;;;;;;
23.00;;;;;;;;;
24.00;;;;;;;;;
25.00;;;;;;;;;
26.00;;;;;;;;;
27.00;;;;;;;;;
28.00;;;;;;;;;
29.00;;;;;;;;;
30.00;;;;;;;;;
31.00;;;;;;;;;
32.00;;;;;;;;;
33.00;;;;;;;;;
34.00;;;;;;;;;
35.00;;;;;;;;;
36.00;;;;;;;;;
37.00;;;;;;;;;
38.00;;;;;;;;;
39.00;;;;;;;;;
40.00;;;;;;;;;
41.00;;;;;;;;;
42.00;;;;;;;;;
43.00;;;;;;;;;
44.00;;;;;;;;;
45.00;;;;;;;;;
46.00;;;;;;;;;
47.00;;;;;;;;;
48.00;;;;;;;;;
49.00;;;;;;;;;
50.00;;;;;;;;;
51.00;;;;;;;;;
52.00;;;;;;;;;
53.00;;;;;;;;;
54.00;;;;;;;;;
55.00;;;;;;;;;
56.00;;;;;;;;;
57.00;;;;;;;;;
58.00;;;;;;;;;
59.00;;;;;;;;;
60.00;;;;;;;;;
61.00;;;;;;;;;
62.00;;;;;;;;;
63.00;;;;;;;;;
64.00;;;;;;;;;
65.00;;;;;;;;;
66.00;;;;;;;;;
67.00;;;;;;;;;
68.00;;;;;;;;;
69.00;;;;;;;;;
70.00;;;;;;;;;
71.00;;;;;;;;;
72.00;;;;;;;;;
73.00;;;;;;;;;
74.00;;;;;;;;;
75.00;;;;;;;;;
76.00;;;;;;;;;
77.00;;;;;;;;;
78.00;;;;;;;;;
79.00;;;;;;;;;
80.00;;;;;;;;;
81.00;;;;;;;;;
82.00;;;;;;;;;
83.00;;;;;;;;;
84.00;;;;;;;;;
85.00;;;;;;;;;
86.00;;;;;;;;;
87.00;;;;;;;;;
88.00;;;;;;;;;
89.00;;;;;;;;;
90.00;;;;;;;;;
91.00;;;;;;;;;
92.00;;;;;;;;;
93.00;;;;;;;;;
94.00;;;;;;;;;
95.00;;;;;;;;;
96.00;;;;;;;;;
97.00;;;;;;;;;
98.00;;;;;;;;;
99.00;;;;;;;;;
100.00;90.06;veh0;D2_0;5.10;0.00;0.00;CarA;-194.90;95.29
100.00;90.00;veh3;D4_0;5.10;0.00;0.00;CarA;-194.90;-4.80
100.00;270.00;veh6;D6_0;5.10;0.00;0.00;CarA;394.90;4.80
100.00;270.00;veh9;D8_0;5.10;0.00;0.00;CarA;394.90;104.80
101.00;90.06;veh0;D2_0;7.36;0.00;2.26;CarA;-192.64;95.29
101.00;90.00;veh3;D4_0;7.02;0.00;1.92;CarA;-192.98;-4.80
101.00;270.00;veh6;D6_0;7.16;0.00;2.06;CarA;392.84;4.80
101.00;270.00;veh9;D8_0;6.98;0.00;1.88;CarA;393.02;104.80
102.00;90.06;veh0;D2_0;12.49;0.00;5.13;CarA;-187.51;95.29
102.00;90.00;veh3;D4_0;11.67;0.00;4.65;CarA;-188.33;-4.80
102.00;270.00;veh6;D6_0;11.50;0.00;4.34;CarA;388.50;4.80
102.00;270.00;veh9;D8_0;10.75;0.00;3.77;CarA;389.25;104.80
103.00;90.06;veh0;D2_0;19.21;0.00;6.72;CarA;-180.79;95.28
103.00;90.06;veh1;D2_0;5.10;0.00;0.00;CarA;-194.90;95.29
103.00;270.00;veh10;D8_0;5.10;0.00;0.00;CarA;394.90;104.80
103.00;90.00;veh3;D4_0;19.30;0.00;7.62;CarA;-180.70;-4.80
103.00;90.00;veh4;D4_0;5.10;0.00;0.00;CarA;-194.90;-4.80
103.00;270.00;veh6;D6_0;17.83;0.00;6.33;CarA;382.17;4.80
103.00;270.00;veh7;D6_0;5.10;0.00;0.00;CarA;394.90;4.80
103.00;270.00;veh9;D8_0;16.52;0.00;5.77;CarA;383.48;104.80
104.00;90.06;veh0;D2_0;28.68;0.00;9.47;CarA;-171.32;95.27
104.00;90.06;veh1;D2_0;6.76;0.00;1.66;CarA;-193.24;95.29
104.00;270.00;veh10;D8_0;7.38;0.00;2.28;CarA;392.62;104.80
104.00;90.00;veh3;D4_0;29.73;0.00;10.43;CarA;-170.27;-4.80
104.00;90.00;veh4;D4_0;7.94;0.00;2.84;CarA;-192.06;-4.80
104.00;270.00;veh6;D6_0;26.35;0.00;8.51;CarA;373.65;4.80
104.00;270.00;veh7;D6_0;7.62;0.00;2.52;CarA;392.38;4.80
104.00;270.00;veh9;D8_0;24.33;0.00;7.81;CarA;375.67;104.80
105.00;90.06;veh0;D2_0;39.78;0.00;11.09;CarA;-160.23;95.26
105.00;90.06;veh1;D2_0;10.81;0.00;4.05;CarA;-189.19;95.29
105.00;270.00;veh10;D8_0;11.68;0.00;4.30;CarA;388.32;104.80
105.00;90.00;veh3;D4_0;41.77;0.00;12.04;CarA;-158.23;-4.80
105.00;90.00;veh4;D4_0;13.48;0.00;5.54;CarA;-186.52;-4.80
105.00;90.00;veh5;D4_0;5.10;0.00;0.00;CarA;-194.90;-4.80
105.00;270.00;veh6;D6_1;37.68;0.00;11.34;CarA;362.32;1.60
105.00;270.00;veh7;D6_0;11.96;0.00;4.34;CarA;388.04;4.80
105.00;270.00;veh9;D8_0;34.44;0.00;10.11;CarA;365.56;104.80
106.00;90.06;veh0;D2_0;52.66;0.00;12.88;CarA;-147.35;95.25
106.00;90.06;veh1;D2_0;17.85;0.00;7.04;CarA;-182.15;95.28
106.00;270.00;veh10;D8_0;18.68;0.00;7.00;CarA;381.32;104.80
106.00;270.00;veh11;D8_0;5.10;0.00;0.00;CarA;394.90;104.80
106.00;90.06;veh2;D2_0;5.10;0.00;0.00;CarA;-194.90;95.29
106.00;90.00;veh3;D4_0;56.71;0.00;14.95;CarA;-143.29;-4.80
106.00;90.00;veh4;D4_0;21.39;0.00;7.91;CarA;-178.61;-4.80
106.00;90.00;veh5;D4_0;5.88;0.00;0.78;CarA;-194.12;-4.80
106.00;270.00;veh6;D6_1;51.78;0.00;14.09;CarA;348.22;1.60
106.00;270.00;veh7;D6_0;19.28;0.00;7.32;CarA;380.72;4.80
106.00;270.00;veh8;D6_0;5.10;0.00;0.00;CarA;394.90;4.80
106.00;270.00;veh9;D8_0;44.87;0.00;10.43;CarA;355.13;104.80
