tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
144.00;D5_0;100.00;14.24;100.00;0.00;D4_0;5.10;0.00;tripinfo_veh3;44.00;veh3;0;595.72;1.08;0.00;4.30;CarA;;0;0.00
146.00;D7_0;100.00;14.57;100.00;0.00;D2_0;5.10;0.00;tripinfo_veh0;46.00;veh0;0;595.36;1.06;0.00;4.86;CarA;;0;0.00
146.00;D3_0;100.00;13.49;100.00;0.00;D6_0;5.10;0.00;tripinfo_veh6;46.00;veh6;0;595.72;1.05;0.00;4.73;CarA;;0;0.00
156.00;D1_0;99.84;11.18;100.00;0.00;D8_0;5.10;0.00;tripinfo_veh9;56.00;veh9;0;595.62;0.86;0.00;5.66;CarA;;0;0.00
161.00;D5_0;100.00;12.83;109.00;9.00;D4_0;7.60;0.00;tripinfo_veh15;52.00;veh15;0;593.22;0.93;0.00;5.46;CarB;;0;0.00
163.00;D3_0;100.00;14.85;103.00;3.00;D8_0;5.10;0.00;tripinfo_veh10;60.00;veh10;0;679.94;1.09;0.00;13.56;CarA;;1;2.00
164.00;D7_0;100.00;13.91;103.00;3.00;D4_0;5.10;0.00;tripinfo_veh4;61.00;veh4;0;682.57;1.03;0.00;12.37;CarA;;1;2.00
164.00;D5_1;100.00;13.41;106.00;6.00;D8_0;5.10;0.00;tripinfo_veh11;58.00;veh11;0;700.58;1.03;0.00;7.94;CarA;;0;0.00
175.00;D5_1;100.00;12.16;103.00;3.00;D2_0;5.10;0.00;tripinfo_veh1;72.00;veh1;0;679.58;0.94;0.00;18.54;CarA;;1;8.00
175.00;D3_0;100.00;13.39;106.00;6.00;D2_0;5.10;0.00;tripinfo_veh2;69.00;veh2;0;658.94;1.01;0.00;20.19;CarA;;1;8.00
175.00;D1_0;99.84;10.62;105.00;5.00;D4_0;5.10;0.00;tripinfo_veh5;70.00;veh5;0;700.48;0.83;0.00;7.88;CarA;;0;0.00
175.00;D7_0;100.00;12.63;106.00;6.00;D6_0;5.10;0.00;tripinfo_veh8;69.00;veh8;0;659.30;0.94;0.00;16.02;CarA;;1;5.00
177.00;D5_1;100.00;15.39;113.00;13.00;D2_0;7.60;0.00;tripinfo_veh13;64.00;veh13;0;677.08;1.12;0.00;18.94;CarB;;1;4.00
178.00;D1_1;99.84;11.41;103.00;3.00;D6_0;5.10;0.00;tripinfo_veh7;75.00;veh7;0;685.00;0.89;0.00;17.53;CarA;;1;8.00
182.00;D3_0;100.00;13.72;116.00;16.00;D2_0;7.60;0.00;tripinfo_veh14;66.00;veh14;0;656.44;0.99;0.00;16.31;CarB;;2;2.00
